Fecha,Pais,Marca,Cliente,Ingresos,Gastos
28/01/2020 00:00,Mexico,Innovatech,Sector publico,118571.0724,68936.67
29/01/2020 00:00,Chile,OmegaTech,Sector publico,721299.6,615888
29/01/2020 00:00,Uruguay,Cybernova,Pequenias y medianas empresas,547649.1,490725
30/01/2020 00:00,Argentina,NexTec,Consumidores finales,311139.0692,301008.96
30/01/2020 00:00,Chile,NexTec,Sector publico,2784216.456,2377327.68
31/01/2020 00:00,Argentina,Cybernova,Instituciones educativas,16854.075,11236.05
31/01/2020 00:00,Argentina,NexTec,Instituciones educativas,99493.0695,76239.9
31/01/2020 00:00,Peru,OmegaTech,Instituciones educativas,72371.6316,56102.04
31/01/2020 00:00,Chile,NexTec,Sector publico,67229.73,34654.5
31/01/2020 00:00,Uruguay,Cybernova,Sector publico,14776.776,12132
01/02/2020 00:00,Uruguay,Innovatech,Sector publico,8308.566,6313.5
01/02/2020 00:00,Argentina,OmegaTech,Sector publico,821303.847,670452.12
03/02/2020 00:00,Peru,NeuroNet,Consumidores finales,99069.2308,85860
03/02/2020 00:00,Argentina,NeuroNet,Grandes clientes,14346.882,11092.95
05/02/2020 00:00,Argentina,NeuroNet,Sector publico,81841.968,43074.72
05/02/2020 00:00,Peru,NexTec,Sector publico,599248.44,483865.2
06/02/2020 00:00,Chile,Innovatech,Instituciones educativas,59847.12,39898.08
08/02/2020 00:00,Chile,NexTec,Consumidores finales,309099.3231,292239.36
08/02/2020 00:00,Argentina,NexTec,Sector publico,1043280,807300
08/02/2020 00:00,Uruguay,NeuroNet,Sector publico,617678.271,498746.43
08/02/2020 00:00,Mexico,NeuroNet,Pequenias y medianas empresas,611914.5,586125
08/02/2020 00:00,Chile,NeuroNet,Grandes clientes,24942.06,19691.1
09/02/2020 00:00,Uruguay,Cybernova,Instituciones educativas,42725.0801,32739.525
09/02/2020 00:00,Mexico,NexTec,Grandes clientes,12046.7088,9219.42
10/02/2020 00:00,Peru,NexTec,Sector publico,22620.96,12294
11/02/2020 00:00,Argentina,NeuroNet,Instituciones educativas,14612.4,9741.6
11/02/2020 00:00,Peru,NexTec,Sector publico,1198127.7,988930.8
12/02/2020 00:00,Mexico,NexTec,Instituciones educativas,29590.11,19926
12/02/2020 00:00,Uruguay,Cybernova,Grandes clientes,21955.752,18095.4
13/02/2020 00:00,Uruguay,OmegaTech,Consumidores finales,730620,607875.84
13/02/2020 00:00,Uruguay,OmegaTech,Pequenias y medianas empresas,289564.848,262287
14/02/2020 00:00,Uruguay,Cybernova,Consumidores finales,224120.7692,188352
14/02/2020 00:00,Argentina,NexTec,Sector publico,15864.9737,13025.43
15/02/2020 00:00,Argentina,OmegaTech,Sector publico,85249.8864,43494.84
15/02/2020 00:00,Uruguay,Cybernova,Grandes clientes,25468.6723,20990.664
16/02/2020 00:00,Mexico,Cybernova,Sector publico,1828.8131,1319.49
16/02/2020 00:00,Uruguay,Cybernova,Sector publico,53048.6258,43553.88
16/02/2020 00:00,Argentina,OmegaTech,Grandes clientes,21266.388,16110.9
17/02/2020 00:00,Chile,NexTec,Sector publico,3038.7269,2359.26
17/02/2020 00:00,Uruguay,Cybernova,Sector publico,116626.4352,66265.02
17/02/2020 00:00,Uruguay,Cybernova,Pequenias y medianas empresas,431040.771,386237.25
20/02/2020 00:00,Peru,NexTec,Instituciones educativas,3227.58,2502
20/02/2020 00:00,Mexico,NeuroNet,Sector publico,94639.644,54390.6
20/02/2020 00:00,Mexico,Innovatech,Pequenias y medianas empresas,185992.2,180225
20/02/2020 00:00,Uruguay,NexTec,Grandes clientes,124228.7442,94112.685
21/02/2020 00:00,Argentina,NexTec,Pequenias y medianas empresas,254191.5,222975
24/02/2020 00:00,Peru,NeuroNet,Instituciones educativas,14111.604,9902.88
24/02/2020 00:00,Chile,NexTec,Instituciones educativas,12503.2896,9365.76
24/02/2020 00:00,Peru,Cybernova,Grandes clientes,8190.072,6204.6
25/02/2020 00:00,Mexico,OmegaTech,Consumidores finales,502678.2115,326898
26/02/2020 00:00,Argentina,Innovatech,Sector publico,15937.74,8757
28/02/2020 00:00,Chile,NexTec,Pequenias y medianas empresas,765021.348,685503
28/02/2020 00:00,Argentina,OmegaTech,Grandes clientes,9849.6,7387.2
02/03/2020 00:00,Uruguay,NexTec,Sector publico,118913.76,63252
03/03/2020 00:00,Chile,NexTec,Sector publico,1153115.555,941318.82
04/03/2020 00:00,Mexico,Cybernova,Consumidores finales,84214.0385,71496
05/03/2020 00:00,Chile,NexTec,Instituciones educativas,43015.05,33345
06/03/2020 00:00,Chile,Innovatech,Grandes clientes,83555.2238,66666.402
08/03/2020 00:00,Peru,Cybernova,Sector publico,15110.55,11992.5
10/03/2020 00:00,Peru,Innovatech,Sector publico,47050.1136,25295.76
11/03/2020 00:00,Mexico,NeuroNet,Sector publico,8871.156,6741
12/03/2020 00:00,Mexico,Cybernova,Instituciones educativas,35794.575,25119
12/03/2020 00:00,Mexico,Cybernova,Sector publico,2629074.42,1992884.4
12/03/2020 00:00,Chile,Innovatech,Pequenias y medianas empresas,206193.6,199800
12/03/2020 00:00,Mexico,NexTec,Pequenias y medianas empresas,125307,122850
13/03/2020 00:00,Chile,OmegaTech,Sector publico,15157.296,12303
14/03/2020 00:00,Chile,OmegaTech,Consumidores finales,44783.6538,37260
16/03/2020 00:00,Chile,Cybernova,Consumidores finales,409388.9149,391507.56
17/03/2020 00:00,Chile,NeuroNet,Sector publico,635040,524160
18/03/2020 00:00,Peru,NexTec,Consumidores finales,99517.0673,87156
18/03/2020 00:00,Argentina,NexTec,Pequenias y medianas empresas,776506.5,653625
18/03/2020 00:00,Uruguay,Cybernova,Pequenias y medianas empresas,605254.68,560421
19/03/2020 00:00,Peru,Cybernova,Sector publico,6253.5564,4908.6
20/03/2020 00:00,Argentina,Cybernova,Consumidores finales,400033.9471,354072.6
21/03/2020 00:00,Uruguay,Cybernova,Consumidores finales,1757892.317,1507800.42
22/03/2020 00:00,Argentina,NexTec,Instituciones educativas,8042.76,6093
22/03/2020 00:00,Argentina,OmegaTech,Consumidores finales,93426.4904,78516
22/03/2020 00:00,Uruguay,Cybernova,Grandes clientes,68963.4,60142.5
23/03/2020 00:00,Peru,OmegaTech,Instituciones educativas,103661.9842,71245.35
23/03/2020 00:00,Chile,OmegaTech,Sector publico,172695.6,145782
24/03/2020 00:00,Chile,OmegaTech,Sector publico,367479,287352
26/03/2020 00:00,Argentina,OmegaTech,Grandes clientes,18715.32,16321.5
31/03/2020 00:00,Argentina,NeuroNet,Sector publico,655735.5,541242
31/03/2020 00:00,Peru,NeuroNet,Sector publico,1517.04,1260
31/03/2020 00:00,Argentina,NeuroNet,Sector publico,119750.4,101088
31/03/2020 00:00,Argentina,NexTec,Pequenias y medianas empresas,618178.176,559944
01/04/2020 00:00,Argentina,NexTec,Sector publico,12718.08,6624
01/04/2020 00:00,Mexico,Cybernova,Sector publico,16093.665,12100.5
01/04/2020 00:00,Uruguay,NeuroNet,Grandes clientes,13145.5397,10834.236
02/04/2020 00:00,Peru,NeuroNet,Instituciones educativas,27137.7,19044
02/04/2020 00:00,Peru,Cybernova,Sector publico,2063.88,1620
03/04/2020 00:00,Chile,NexTec,Sector publico,1489.572,1156.5
03/04/2020 00:00,Chile,OmegaTech,Sector publico,19559.34,11241
03/04/2020 00:00,Uruguay,Cybernova,Grandes clientes,73205.6648,61690.167
04/04/2020 00:00,Uruguay,Cybernova,Sector publico,442965.6,350064
05/04/2020 00:00,Peru,NexTec,Sector publico,22620.96,12294
06/04/2020 00:00,Argentina,Cybernova,Grandes clientes,14581.5552,11391.84
07/04/2020 00:00,Chile,OmegaTech,Consumidores finales,223370.4808,191592
07/04/2020 00:00,Chile,Cybernova,Pequenias y medianas empresas,932062.95,853537.5
07/04/2020 00:00,Chile,OmegaTech,Pequenias y medianas empresas,675638.064,611991
08/04/2020 00:00,Argentina,NexTec,Instituciones educativas,8696.16,6039
08/04/2020 00:00,Chile,NeuroNet,Grandes clientes,18922.896,15260.4
10/04/2020 00:00,Mexico,Cybernova,Pequenias y medianas empresas,318622.68,288607.5
10/04/2020 00:00,Chile,OmegaTech,Grandes clientes,95528.0898,75416.913
11/04/2020 00:00,Chile,NexTec,Sector publico,165186,129168
12/04/2020 00:00,Argentina,Cybernova,Instituciones educativas,8696.16,6039
13/04/2020 00:00,Argentina,OmegaTech,Consumidores finales,234934.2692,217183.68
15/04/2020 00:00,Mexico,Innovatech,Sector publico,9596.16,4896
16/04/2020 00:00,Argentina,NeuroNet,Instituciones educativas,97032.1275,66008.25
16/04/2020 00:00,Mexico,OmegaTech,Sector publico,30701.16,16506
17/04/2020 00:00,Uruguay,Cybernova,Sector publico,672036.75,504270
18/04/2020 00:00,Uruguay,NexTec,Sector publico,30513.6248,22942.575
19/04/2020 00:00,Peru,NexTec,Sector publico,30990.7152,16842.78
19/04/2020 00:00,Argentina,Innovatech,Pequenias y medianas empresas,2003146.2,1686150
20/04/2020 00:00,Chile,Innovatech,Instituciones educativas,29364.525,23031
20/04/2020 00:00,Chile,Innovatech,Sector publico,23751.9,12501
21/04/2020 00:00,Uruguay,NeuroNet,Pequenias y medianas empresas,242902.8,206550
22/04/2020 00:00,Argentina,NexTec,Sector publico,7114.338,5841
24/04/2020 00:00,Chile,Innovatech,Instituciones educativas,25492.32,17703
24/04/2020 00:00,Peru,Cybernova,Consumidores finales,241328.2067,225601.2
26/04/2020 00:00,Uruguay,Cybernova,Instituciones educativas,15826.833,11345.4
26/04/2020 00:00,Uruguay,Cybernova,Grandes clientes,19914.876,15398.1
27/04/2020 00:00,Argentina,Cybernova,Instituciones educativas,20234.61,13626
27/04/2020 00:00,Uruguay,NeuroNet,Instituciones educativas,46029.06,34870.5
28/04/2020 00:00,Uruguay,Innovatech,Consumidores finales,282005.9135,263628
29/04/2020 00:00,Argentina,NeuroNet,Consumidores finales,937440,779950.08
29/04/2020 00:00,Uruguay,NeuroNet,Sector publico,43931.16,24138
29/04/2020 00:00,Chile,Innovatech,Sector publico,119153.97,59576.985
29/04/2020 00:00,Peru,OmegaTech,Sector publico,23988.6007,18624.69
29/04/2020 00:00,Argentina,NeuroNet,Grandes clientes,11143.2024,9286.002
30/04/2020 00:00,Mexico,Cybernova,Consumidores finales,69897.6519,59341.68
02/05/2020 00:00,Mexico,NexTec,Grandes clientes,11473.056,8780.4
03/05/2020 00:00,Chile,NexTec,Consumidores finales,349462.4279,290752.74
03/05/2020 00:00,Peru,NexTec,Sector publico,17717.4,10422
03/05/2020 00:00,Peru,Cybernova,Pequenias y medianas empresas,1010671.992,957075.75
03/05/2020 00:00,Argentina,Cybernova,Grandes clientes,27643.896,22056.3
03/05/2020 00:00,Uruguay,OmegaTech,Grandes clientes,74058.3648,56677.32
04/05/2020 00:00,Mexico,NeuroNet,Consumidores finales,246281.5385,232848
05/05/2020 00:00,Mexico,NexTec,Instituciones educativas,2618.5478,1918.35
05/05/2020 00:00,Chile,NexTec,Consumidores finales,116162.3077,102816
05/05/2020 00:00,Uruguay,Cybernova,Sector publico,47684.1708,35852.76
05/05/2020 00:00,Mexico,Cybernova,Sector publico,734718.6,620217
06/05/2020 00:00,Peru,OmegaTech,Instituciones educativas,79627.212,56473.2
06/05/2020 00:00,Peru,OmegaTech,Consumidores finales,1131233.266,1012028.04
06/05/2020 00:00,Uruguay,NexTec,Sector publico,68856.48,34776
07/05/2020 00:00,Peru,NeuroNet,Pequenias y medianas empresas,320625,281250
07/05/2020 00:00,Uruguay,Innovatech,Pequenias y medianas empresas,547649.1,490725
08/05/2020 00:00,Mexico,OmegaTech,Instituciones educativas,34218.288,23762.7
08/05/2020 00:00,Peru,Innovatech,Sector publico,13962.564,10840.5
08/05/2020 00:00,Mexico,NeuroNet,Pequenias y medianas empresas,132046.2,111150
08/05/2020 00:00,Chile,OmegaTech,Pequenias y medianas empresas,318697.2,288675
08/05/2020 00:00,Mexico,NeuroNet,Grandes clientes,7302.96,5589
09/05/2020 00:00,Argentina,NexTec,Grandes clientes,2026.0368,1688.364
10/05/2020 00:00,Argentina,Innovatech,Instituciones educativas,74674.1268,57886.92
11/05/2020 00:00,Peru,Cybernova,Grandes clientes,16686,12514.5
11/05/2020 00:00,Uruguay,Innovatech,Grandes clientes,46674.3816,35720.19
12/05/2020 00:00,Mexico,Cybernova,Sector publico,19530.72,11097
12/05/2020 00:00,Uruguay,Innovatech,Grandes clientes,8978.688,7014.6
13/05/2020 00:00,Mexico,Innovatech,Sector publico,27165.6,15435
14/05/2020 00:00,Argentina,NexTec,Consumidores finales,317488.8462,307152
15/05/2020 00:00,Argentina,NeuroNet,Pequenias y medianas empresas,234522,227250
16/05/2020 00:00,Uruguay,NexTec,Sector publico,14884.695,11191.5
17/05/2020 00:00,Argentina,Cybernova,Sector publico,27624.24,14094
18/05/2020 00:00,Uruguay,Cybernova,Sector publico,19590.273,11523.69
18/05/2020 00:00,Peru,NexTec,Grandes clientes,30650.4,22987.8
19/05/2020 00:00,Chile,OmegaTech,Instituciones educativas,18959.13,14697
19/05/2020 00:00,Uruguay,NeuroNet,Consumidores finales,294111.7788,257580
19/05/2020 00:00,Mexico,NexTec,Pequenias y medianas empresas,446387.22,404336.25
20/05/2020 00:00,Mexico,OmegaTech,Sector publico,3434.927,2696.175
22/05/2020 00:00,Uruguay,NeuroNet,Sector publico,804334.86,663895.44
23/05/2020 00:00,Peru,Innovatech,Pequenias y medianas empresas,281985.3,252675
24/05/2020 00:00,Peru,NeuroNet,Sector publico,12450.375,9562.5
24/05/2020 00:00,Uruguay,Cybernova,Sector publico,467410.608,361686.78
24/05/2020 00:00,Mexico,Innovatech,Grandes clientes,27050.76,22052.25
25/05/2020 00:00,Peru,Innovatech,Grandes clientes,29074.7556,22026.33
26/05/2020 00:00,Argentina,Cybernova,Sector publico,180148.5,140868
26/05/2020 00:00,Argentina,NexTec,Grandes clientes,3751.92,3126.6
26/05/2020 00:00,Uruguay,OmegaTech,Grandes clientes,26023.464,20544.84
27/05/2020 00:00,Mexico,NeuroNet,Sector publico,501713.1,384228
29/05/2020 00:00,Uruguay,Cybernova,Sector publico,29728.44,15813
30/05/2020 00:00,Mexico,Innovatech,Grandes clientes,13662,11137.5
31/05/2020 00:00,Uruguay,Cybernova,Instituciones educativas,7411.5,4941
31/05/2020 00:00,Argentina,OmegaTech,Grandes clientes,54829.4314,41537.448
31/05/2020 00:00,Peru,NexTec,Grandes clientes,4083.1776,3440.88
01/06/2020 00:00,Uruguay,NeuroNet,Sector publico,44936.1,25245
02/06/2020 00:00,Argentina,Innovatech,Instituciones educativas,150747.075,115515
02/06/2020 00:00,Mexico,OmegaTech,Sector publico,958797,749736
02/06/2020 00:00,Peru,Cybernova,Pequenias y medianas empresas,180449.1,155025
03/06/2020 00:00,Peru,Innovatech,Instituciones educativas,20398.7322,14781.69
03/06/2020 00:00,Argentina,Innovatech,Sector publico,3206.763,2411.1
04/06/2020 00:00,Uruguay,OmegaTech,Instituciones educativas,114545.34,84848.4
04/06/2020 00:00,Mexico,NexTec,Sector publico,14335.2,8145
05/06/2020 00:00,Chile,Cybernova,Sector publico,36142.4171,26076.78
08/06/2020 00:00,Uruguay,NeuroNet,Consumidores finales,282005.9135,263628
09/06/2020 00:00,Mexico,OmegaTech,Sector publico,11279.016,8757
09/06/2020 00:00,Uruguay,NexTec,Sector publico,40997.592,21577.68
09/06/2020 00:00,Mexico,NexTec,Pequenias y medianas empresas,157734,142875
10/06/2020 00:00,Argentina,Cybernova,Grandes clientes,30757.7088,25349.76
11/06/2020 00:00,Mexico,OmegaTech,Pequenias y medianas empresas,1471537.935,1290822.75
12/06/2020 00:00,Mexico,Cybernova,Sector publico,2492773.92,1928932.2
12/06/2020 00:00,Chile,OmegaTech,Grandes clientes,24942.06,19691.1
12/06/2020 00:00,Mexico,Cybernova,Grandes clientes,3852.36,3321
13/06/2020 00:00,Uruguay,Cybernova,Instituciones educativas,15267.69,10178.46
14/06/2020 00:00,Chile,NexTec,Instituciones educativas,28676.7,22230
14/06/2020 00:00,Chile,NeuroNet,Consumidores finales,6064.6154,2628
15/06/2020 00:00,Chile,Cybernova,Consumidores finales,198586.2981,177660
16/06/2020 00:00,Mexico,NexTec,Sector publico,51410.6208,37857.6
16/06/2020 00:00,Uruguay,NeuroNet,Grandes clientes,19331.676,15932.7
18/06/2020 00:00,Peru,Innovatech,Grandes clientes,48670.713,40113.225
19/06/2020 00:00,Argentina,NexTec,Grandes clientes,12086.928,9250.2
21/06/2020 00:00,Chile,NexTec,Sector publico,9268.938,7119
21/06/2020 00:00,Mexico,OmegaTech,Sector publico,331808.4,280098
21/06/2020 00:00,Argentina,Cybernova,Sector publico,16232.328,13482
21/06/2020 00:00,Peru,NexTec,Pequenias y medianas empresas,481852.8,418275
22/06/2020 00:00,Uruguay,NeuroNet,Pequenias y medianas empresas,430680.888,390109.5
23/06/2020 00:00,Chile,Cybernova,Sector publico,2102.184,1746
24/06/2020 00:00,Peru,OmegaTech,Sector publico,24251.04,13779
26/06/2020 00:00,Argentina,Innovatech,Sector publico,30639.609,23037.3
28/06/2020 00:00,Uruguay,Innovatech,Instituciones educativas,84489.7824,61224.48
28/06/2020 00:00,Peru,Innovatech,Sector publico,6346.62,4927.5
28/06/2020 00:00,Chile,NeuroNet,Sector publico,138299.805,114152.22
29/06/2020 00:00,Peru,NexTec,Consumidores finales,156170.4663,133952.4
29/06/2020 00:00,Argentina,Cybernova,Pequenias y medianas empresas,2224376.154,2155403.25
29/06/2020 00:00,Chile,NexTec,Grandes clientes,13706.28,10489.5
30/06/2020 00:00,Argentina,OmegaTech,Pequenias y medianas empresas,557442,516150
01/07/2020 00:00,Mexico,NeuroNet,Grandes clientes,25290.144,21554.1
02/07/2020 00:00,Mexico,NexTec,Sector publico,10755.36,7920
03/07/2020 00:00,Chile,NeuroNet,Consumidores finales,94454.5673,80190
03/07/2020 00:00,Peru,OmegaTech,Consumidores finales,665556.6202,651462.48
03/07/2020 00:00,Argentina,NeuroNet,Grandes clientes,20396.772,15770.7
04/07/2020 00:00,Uruguay,NexTec,Sector publico,113056.479,59503.41
05/07/2020 00:00,Mexico,Cybernova,Grandes clientes,19465.8811,16780.932
06/07/2020 00:00,Argentina,NexTec,Consumidores finales,402527.1635,372114
06/07/2020 00:00,Argentina,NeuroNet,Sector publico,114655.9428,61642.98
07/07/2020 00:00,Chile,Innovatech,Instituciones educativas,76054.1197,59650.29
07/07/2020 00:00,Mexico,OmegaTech,Sector publico,2986.893,2344.5
08/07/2020 00:00,Peru,NexTec,Consumidores finales,60905.7692,59616
08/07/2020 00:00,Peru,OmegaTech,Sector publico,6936.615,5215.5
08/07/2020 00:00,Mexico,OmegaTech,Sector publico,1906437.708,1539359.64
08/07/2020 00:00,Peru,Cybernova,Pequenias y medianas empresas,263557.8,221850
09/07/2020 00:00,Uruguay,Cybernova,Sector publico,2557166.976,2020861.44
09/07/2020 00:00,Argentina,NeuroNet,Grandes clientes,3751.92,3126.6
10/07/2020 00:00,Mexico,OmegaTech,Instituciones educativas,32284.98,23652
10/07/2020 00:00,Peru,Cybernova,Consumidores finales,1079959.812,916863.84
10/07/2020 00:00,Uruguay,NeuroNet,Consumidores finales,28282.3962,12379.5
10/07/2020 00:00,Chile,Cybernova,Sector publico,27588.5568,20527.2
11/07/2020 00:00,Argentina,NeuroNet,Pequenias y medianas empresas,292832.82,262395
12/07/2020 00:00,Mexico,NeuroNet,Consumidores finales,774947.25,657914.4
12/07/2020 00:00,Uruguay,Innovatech,Sector publico,71210.7396,36332.01
12/07/2020 00:00,Peru,NexTec,Pequenias y medianas empresas,2192430.24,1903151.25
13/07/2020 00:00,Peru,OmegaTech,Sector publico,5309.712,2949.84
14/07/2020 00:00,Argentina,Cybernova,Sector publico,27624.24,14094
15/07/2020 00:00,Uruguay,NexTec,Consumidores finales,101137.0673,84996
15/07/2020 00:00,Argentina,NexTec,Consumidores finales,18200.0458,11380.5
15/07/2020 00:00,Mexico,NeuroNet,Pequenias y medianas empresas,899974.8,749979
15/07/2020 00:00,Mexico,NexTec,Pequenias y medianas empresas,208009.62,203931
16/07/2020 00:00,Chile,Innovatech,Instituciones educativas,84114.45,65205
16/07/2020 00:00,Chile,Cybernova,Instituciones educativas,43710.2568,33883.92
16/07/2020 00:00,Uruguay,OmegaTech,Pequenias y medianas empresas,95882.4,86850
17/07/2020 00:00,Argentina,NexTec,Instituciones educativas,31654.0224,21981.96
17/07/2020 00:00,Uruguay,Cybernova,Sector publico,658324.8,509418
18/07/2020 00:00,Argentina,OmegaTech,Consumidores finales,186455.7692,172368
18/07/2020 00:00,Mexico,NeuroNet,Consumidores finales,10852.9615,6718.5
19/07/2020 00:00,Chile,NeuroNet,Instituciones educativas,64486.7487,46227.06
21/07/2020 00:00,Uruguay,Cybernova,Instituciones educativas,63804.51,42536.34
21/07/2020 00:00,Peru,NeuroNet,Sector publico,222037.2,185328
24/07/2020 00:00,Uruguay,Innovatech,Grandes clientes,33490.5062,26164.458
25/07/2020 00:00,Chile,Innovatech,Consumidores finales,347160.2885,294732
25/07/2020 00:00,Chile,NeuroNet,Consumidores finales,220622.7375,185412.24
25/07/2020 00:00,Peru,Cybernova,Consumidores finales,263373.3173,257796
25/07/2020 00:00,Peru,Cybernova,Sector publico,10867.1004,6245.46
25/07/2020 00:00,Mexico,Cybernova,Grandes clientes,15900.3324,12552.894
27/07/2020 00:00,Argentina,Innovatech,Pequenias y medianas empresas,756345.6,656550
28/07/2020 00:00,Uruguay,NexTec,Consumidores finales,162050.625,138996
29/07/2020 00:00,Uruguay,NexTec,Sector publico,490549.5,418860
29/07/2020 00:00,Chile,Cybernova,Grandes clientes,29665.0253,25282.692
30/07/2020 00:00,Peru,Cybernova,Sector publico,432306,341640
01/08/2020 00:00,Uruguay,OmegaTech,Sector publico,1587.474,1318.5
02/08/2020 00:00,Mexico,OmegaTech,Grandes clientes,5705.424,4552.2
02/08/2020 00:00,Chile,OmegaTech,Grandes clientes,64814.1437,55239.327
04/08/2020 00:00,Chile,Cybernova,Sector publico,84031.7868,45178.38
05/08/2020 00:00,Uruguay,Cybernova,Instituciones educativas,26378.055,18909
05/08/2020 00:00,Uruguay,Cybernova,Sector publico,664448.4,525096
06/08/2020 00:00,Mexico,NexTec,Consumidores finales,106703.4937,97557.48
06/08/2020 00:00,Mexico,Cybernova,Sector publico,386694,326430
06/08/2020 00:00,Mexico,Cybernova,Sector publico,63409.0401,47675.97
06/08/2020 00:00,Mexico,NeuroNet,Grandes clientes,6853.0644,5648.13
07/08/2020 00:00,Argentina,OmegaTech,Consumidores finales,269000.4808,263304
08/08/2020 00:00,Uruguay,Cybernova,Instituciones educativas,22459.8055,16454.07
08/08/2020 00:00,Uruguay,NexTec,Pequenias y medianas empresas,195230.574,173076.75
09/08/2020 00:00,Argentina,Innovatech,Sector publico,52862.5008,28729.62
09/08/2020 00:00,Uruguay,OmegaTech,Grandes clientes,19134.9,15106.5
11/08/2020 00:00,Mexico,NexTec,Sector publico,17002.44,9342
11/08/2020 00:00,Mexico,OmegaTech,Sector publico,1180623.56,885893.58
11/08/2020 00:00,Mexico,OmegaTech,Sector publico,25343.9604,14238.18
12/08/2020 00:00,Mexico,NexTec,Consumidores finales,1442339.325,1395379.44
12/08/2020 00:00,Uruguay,Cybernova,Pequenias y medianas empresas,75950.784,69552
12/08/2020 00:00,Uruguay,Cybernova,Grandes clientes,96985.4461,74988.747
13/08/2020 00:00,Chile,OmegaTech,Sector publico,52274.7918,37716.3
14/08/2020 00:00,Argentina,NeuroNet,Grandes clientes,101454.444,76090.833
15/08/2020 00:00,Uruguay,NeuroNet,Instituciones educativas,137166.5988,103914.09
15/08/2020 00:00,Peru,OmegaTech,Instituciones educativas,14966.2688,11738.25
15/08/2020 00:00,Argentina,OmegaTech,Sector publico,602741.16,476330.4
16/08/2020 00:00,Mexico,Cybernova,Sector publico,15172.542,12177
16/08/2020 00:00,Argentina,Cybernova,Sector publico,2943.6485,2236.815
17/08/2020 00:00,Peru,NeuroNet,Sector publico,60882.3338,46760.625
17/08/2020 00:00,Argentina,NeuroNet,Grandes clientes,21092.4,15819.3
18/08/2020 00:00,Uruguay,NexTec,Pequenias y medianas empresas,309889.8,274725
19/08/2020 00:00,Uruguay,Innovatech,Instituciones educativas,15237.3312,10581.48
19/08/2020 00:00,Mexico,NexTec,Consumidores finales,654630.5769,555768
20/08/2020 00:00,Chile,Cybernova,Pequenias y medianas empresas,145535.994,141023.25
