Fecha,País,Marca,Cliente, Ingresos , Gastos 
05/06/2020,Perú,OmegaTech,Instituciones educativas,79627.21,56473.2
05/06/2020,Perú,OmegaTech,Consumidores finales,1131233.27,1012028.04
05/06/2020,Uruguay,NexTec,Sector público,68856.48,34776
05/07/2020,Perú,NeuroNet,Pequeñas y medianas empresas,320625,281250
05/07/2020,Uruguay,Innovatech,Pequeñas y medianas empresas,547649.1,490725
05/08/2020,México,OmegaTech,Instituciones educativas,34218.29,23762.7
05/08/2020,Perú,Innovatech,Sector público,13962.56,10840.5
05/08/2020,México,NeuroNet,Pequeñas y medianas empresas,132046.2,111150
05/08/2020,Chile,OmegaTech,Pequeñas y medianas empresas,318697.2,288675
05/08/2020,México,NeuroNet,Grandes clientes,7302.96,5589
05/09/2020,Argentina,NexTec,Grandes clientes,2026.04,1688.36
05/10/2020,Argentina,Innovatech,Instituciones educativas,74674.13,57886.92
05/11/2020,Perú,Cybernova,Grandes clientes,16686,12514.5
05/11/2020,Uruguay,Innovatech,Grandes clientes,46674.38,35720.19
05/12/2020,México,Cybernova,Sector público,19530.72,11097
05/12/2020,Uruguay,Innovatech,Grandes clientes,8978.69,7014.6
5/13/2020,México,Innovatech,Sector público,27165.6,15435
5/14/2020,Argentina,NexTec,Consumidores finales,317488.85,307152
5/15/2020,Argentina,NeuroNet,Pequeñas y medianas empresas,234522,227250
5/16/2020,Uruguay,NexTec,Sector público,14884.7,11191.5
5/17/2020,Argentina,Cybernova,Sector público,27624.24,14094
5/18/2020,Uruguay,Cybernova,Sector público,19590.27,11523.69
5/18/2020,Perú,NexTec,Grandes clientes,30650.4,22987.8
5/19/2020,Chile,OmegaTech,Instituciones educativas,18959.13,14697
5/19/2020,Uruguay,NeuroNet,Consumidores finales,294111.78,257580
5/19/2020,México,NexTec,Pequeñas y medianas empresas,446387.22,404336.25
5/20/2020,México,OmegaTech,Sector público,3434.93,2696.18
5/22/2020,Uruguay,NeuroNet,Sector público,804334.86,663895.44
5/23/2020,Perú,Innovatech,Pequeñas y medianas empresas,281985.3,252675
5/24/2020,Perú,NeuroNet,Sector público,12450.38,9562.5
5/24/2020,Uruguay,Cybernova,Sector público,467410.61,361686.78
5/24/2020,México,Innovatech,Grandes clientes,27050.76,22052.25
5/25/2020,Perú,Innovatech,Grandes clientes,29074.76,22026.33
5/26/2020,Argentina,Cybernova,Sector público,180148.5,140868
5/26/2020,Argentina,NexTec,Grandes clientes,3751.92,3126.6
5/26/2020,Uruguay,OmegaTech,Grandes clientes,26023.46,20544.84
5/27/2020,México,NeuroNet,Sector público,501713.1,384228
5/29/2020,Uruguay,Cybernova,Sector público,29728.44,15813
5/30/2020,México,Innovatech,Grandes clientes,13662,11137.5
5/31/2020,Uruguay,Cybernova,Instituciones educativas,7411.5,4941
5/31/2020,Argentina,OmegaTech,Grandes clientes,54829.43,41537.45
5/31/2020,Perú,NexTec,Grandes clientes,4083.18,3440.88
06/01/2020,Uruguay,NeuroNet,Sector público,44936.1,25245
06/02/2020,Argentina,Innovatech,Instituciones educativas,150747.08,115515
06/02/2020,México,OmegaTech,Sector público,958797,749736
06/02/2020,Perú,Cybernova,Pequeñas y medianas empresas,180449.1,155025
06/03/2020,Perú,Innovatech,Instituciones educativas,20398.73,14781.69
06/03/2020,Argentina,Innovatech,Sector público,3206.76,2411.1
06/04/2020,Uruguay,OmegaTech,Instituciones educativas,114545.34,84848.4
06/04/2020,México,NexTec,Sector público,14335.2,8145
06/05/2020,Chile,Cybernova,Sector público,36142.42,26076.78
06/08/2020,Uruguay,NeuroNet,Consumidores finales,282005.91,263628
06/09/2020,México,OmegaTech,Sector público,11279.02,8757
06/09/2020,Uruguay,NexTec,Sector público,40997.59,21577.68
06/09/2020,México,NexTec,Pequeñas y medianas empresas,157734,142875
06/10/2020,Argentina,Cybernova,Grandes clientes,30757.71,25349.76
06/11/2020,México,OmegaTech,Pequeñas y medianas empresas,1471537.94,1290822.75
06/12/2020,México,Cybernova,Sector público,2492773.92,1928932.2
06/12/2020,Chile,OmegaTech,Grandes clientes,24942.06,19691.1
06/12/2020,México,Cybernova,Grandes clientes,3852.36,3321
6/13/2020,Uruguay,Cybernova,Instituciones educativas,15267.69,10178.46
6/14/2020,Chile,NexTec,Instituciones educativas,28676.7,22230
6/14/2020,Chile,NeuroNet,Consumidores finales,6064.62,2628
6/15/2020,Chile,Cybernova,Consumidores finales,198586.3,177660
6/16/2020,México,NexTec,Sector público,51410.62,37857.6
6/16/2020,Uruguay,NeuroNet,Grandes clientes,19331.68,15932.7
6/18/2020,Perú,Innovatech,Grandes clientes,48670.71,40113.23
6/19/2020,Argentina,NexTec,Grandes clientes,12086.93,9250.2
6/21/2020,Chile,NexTec,Sector público,9268.94,7119
6/21/2020,México,OmegaTech,Sector público,331808.4,280098
6/21/2020,Argentina,Cybernova,Sector público,16232.33,13482
6/21/2020,Perú,NexTec,Pequeñas y medianas empresas,481852.8,418275
6/22/2020,Uruguay,NeuroNet,Pequeñas y medianas empresas,430680.89,390109.5
6/23/2020,Chile,Cybernova,Sector público,2102.18,1746
6/24/2020,Perú,OmegaTech,Sector público,24251.04,13779
6/26/2020,Argentina,Innovatech,Sector público,30639.61,23037.3
6/28/2020,Uruguay,Innovatech,Instituciones educativas,84489.78,61224.48
6/28/2020,Perú,Innovatech,Sector público,6346.62,4927.5
6/28/2020,Chile,NeuroNet,Sector público,138299.81,114152.22
6/29/2020,Perú,NexTec,Consumidores finales,156170.47,133952.4
6/29/2020,Argentina,Cybernova,Pequeñas y medianas empresas,2224376.15,2155403.25
6/29/2020,Chile,NexTec,Grandes clientes,13706.28,10489.5
6/30/2020,Argentina,OmegaTech,Pequeñas y medianas empresas,557442,516150
07/01/2020,México,NeuroNet,Grandes clientes,25290.14,21554.1
07/02/2020,México,NexTec,Sector público,10755.36,7920
07/03/2020,Chile,NeuroNet,Consumidores finales,94454.57,80190
07/03/2020,Perú,OmegaTech,Consumidores finales,665556.62,651462.48
07/03/2020,Argentina,NeuroNet,Grandes clientes,20396.77,15770.7
07/04/2020,Uruguay,NexTec,Sector público,113056.48,59503.41
07/05/2020,México,Cybernova,Grandes clientes,19465.88,16780.93
07/06/2020,Argentina,NexTec,Consumidores finales,402527.16,372114
07/06/2020,Argentina,NeuroNet,Sector público,114655.94,61642.98
07/07/2020,Chile,Innovatech,Instituciones educativas,76054.12,59650.29
07/07/2020,México,OmegaTech,Sector público,2986.89,2344.5
07/08/2020,Perú,NexTec,Consumidores finales,60905.77,59616
07/08/2020,Perú,OmegaTech,Sector público,6936.62,5215.5
07/08/2020,México,OmegaTech,Sector público,1906437.71,1539359.64
07/08/2020,Perú,Cybernova,Pequeñas y medianas empresas,263557.8,221850
07/09/2020,Uruguay,Cybernova,Sector público,2557166.98,2020861.44
07/09/2020,Argentina,NeuroNet,Grandes clientes,3751.92,3126.6
07/10/2020,México,OmegaTech,Instituciones educativas,32284.98,23652
07/10/2020,Perú,Cybernova,Consumidores finales,1079959.81,916863.84
07/10/2020,Uruguay,NeuroNet,Consumidores finales,28282.4,12379.5
07/10/2020,Chile,Cybernova,Sector público,27588.56,20527.2
07/11/2020,Argentina,NeuroNet,Pequeñas y medianas empresas,292832.82,262395
07/12/2020,México,NeuroNet,Consumidores finales,774947.25,657914.4
07/12/2020,Uruguay,Innovatech,Sector público,71210.74,36332.01
07/12/2020,Perú,NexTec,Pequeñas y medianas empresas,2192430.24,1903151.25
7/13/2020,Perú,OmegaTech,Sector público,5309.71,2949.84
7/14/2020,Argentina,Cybernova,Sector público,27624.24,14094
7/15/2020,Uruguay,NexTec,Consumidores finales,101137.07,84996
7/15/2020,Argentina,NexTec,Consumidores finales,18200.05,11380.5
7/15/2020,México,NeuroNet,Pequeñas y medianas empresas,899974.8,749979
7/15/2020,México,NexTec,Pequeñas y medianas empresas,208009.62,203931
7/16/2020,Chile,Innovatech,Instituciones educativas,84114.45,65205
7/16/2020,Chile,Cybernova,Instituciones educativas,43710.26,33883.92
7/16/2020,Uruguay,OmegaTech,Pequeñas y medianas empresas,95882.4,86850
7/17/2020,Argentina,NexTec,Instituciones educativas,31654.02,21981.96
7/17/2020,Uruguay,Cybernova,Sector público,658324.8,509418
7/18/2020,Argentina,OmegaTech,Consumidores finales,186455.77,172368
7/18/2020,México,NeuroNet,Consumidores finales,10852.96,6718.5
7/19/2020,Chile,NeuroNet,Instituciones educativas,64486.75,46227.06
7/21/2020,Uruguay,Cybernova,Instituciones educativas,63804.51,42536.34
7/21/2020,Perú,NeuroNet,Sector público,222037.2,185328
7/24/2020,Uruguay,Innovatech,Grandes clientes,33490.51,26164.46
7/25/2020,Chile,Innovatech,Consumidores finales,347160.29,294732
7/25/2020,Chile,NeuroNet,Consumidores finales,220622.74,185412.24
7/25/2020,Perú,Cybernova,Consumidores finales,263373.32,257796
7/25/2020,Perú,Cybernova,Sector público,10867.1,6245.46
7/25/2020,México,Cybernova,Grandes clientes,15900.33,12552.89
7/27/2020,Argentina,Innovatech,Pequeñas y medianas empresas,756345.6,656550
7/28/2020,Uruguay,NexTec,Consumidores finales,162050.63,138996
7/29/2020,Uruguay,NexTec,Sector público,490549.5,418860
7/29/2020,Chile,Cybernova,Grandes clientes,29665.03,25282.69
7/30/2020,Perú,Cybernova,Sector público,432306,341640
08/01/2020,Uruguay,OmegaTech,Sector público,1587.47,1318.5
08/02/2020,México,OmegaTech,Grandes clientes,5705.42,4552.2
08/02/2020,Chile,OmegaTech,Grandes clientes,64814.14,55239.33
08/04/2020,Chile,Cybernova,Sector público,84031.79,45178.38
08/05/2020,Uruguay,Cybernova,Instituciones educativas,26378.06,18909
08/05/2020,Uruguay,Cybernova,Sector público,664448.4,525096
08/06/2020,México,NexTec,Consumidores finales,106703.49,97557.48
08/06/2020,México,Cybernova,Sector público,386694,326430
08/06/2020,México,Cybernova,Sector público,63409.04,47675.97
08/06/2020,México,NeuroNet,Grandes clientes,6853.06,5648.13
08/07/2020,Argentina,OmegaTech,Consumidores finales,269000.48,263304
08/08/2020,Uruguay,Cybernova,Instituciones educativas,22459.81,16454.07
08/08/2020,Uruguay,NexTec,Pequeñas y medianas empresas,195230.57,173076.75
08/09/2020,Argentina,Innovatech,Sector público,52862.5,28729.62
08/09/2020,Uruguay,OmegaTech,Grandes clientes,19134.9,15106.5
08/11/2020,México,NexTec,Sector público,17002.44,9342
08/11/2020,México,OmegaTech,Sector público,1180623.56,885893.58
08/11/2020,México,OmegaTech,Sector público,25343.96,14238.18
08/12/2020,México,NexTec,Consumidores finales,1442339.33,1395379.44
08/12/2020,Uruguay,Cybernova,Pequeñas y medianas empresas,75950.78,69552
08/12/2020,Uruguay,Cybernova,Grandes clientes,96985.45,74988.75
8/13/2020,Chile,OmegaTech,Sector público,52274.79,37716.3
8/14/2020,Argentina,NeuroNet,Grandes clientes,101454.44,76090.83
8/15/2020,Uruguay,NeuroNet,Instituciones educativas,137166.6,103914.09
8/15/2020,Perú,OmegaTech,Instituciones educativas,14966.27,11738.25
8/15/2020,Argentina,OmegaTech,Sector público,602741.16,476330.4
8/16/2020,México,Cybernova,Sector público,15172.54,12177
8/16/2020,Argentina,Cybernova,Sector público,2943.65,2236.82
8/17/2020,Perú,NeuroNet,Sector público,60882.33,46760.63
8/17/2020,Argentina,NeuroNet,Grandes clientes,21092.4,15819.3
8/18/2020,Uruguay,NexTec,Pequeñas y medianas empresas,309889.8,274725
8/19/2020,Uruguay,Innovatech,Instituciones educativas,15237.33,10581.48
8/19/2020,México,NexTec,Consumidores finales,654630.58,555768
8/20/2020,Chile,Cybernova,Pequeñas y medianas empresas,145535.99,141023.25
8/21/2020,Chile,Innovatech,Pequeñas y medianas empresas,258556.54,219861
8/22/2020,Argentina,NeuroNet,Sector público,3411.45,2565
8/23/2020,México,Cybernova,Pequeñas y medianas empresas,1863745.2,1688175
8/24/2020,Argentina,NeuroNet,Sector público,17361.68,10212.75
8/26/2020,Chile,Cybernova,Sector público,2697330.98,2329920.45
8/28/2020,Perú,Innovatech,Sector público,10839.07,8149.68
8/29/2020,Uruguay,Cybernova,Instituciones educativas,29403,19602
8/29/2020,Argentina,Innovatech,Instituciones educativas,10973.68,7782.75
8/29/2020,Uruguay,Cybernova,Sector público,8266.1,6709.5
8/29/2020,México,Cybernova,Sector público,41209.82,23414.67
8/30/2020,Uruguay,NexTec,Consumidores finales,114202.21,110484
8/30/2020,Chile,Cybernova,Sector público,37585.44,21852
8/31/2020,Perú,NexTec,Consumidores finales,1306806.49,1169100
09/02/2020,Perú,OmegaTech,Instituciones educativas,6196.5,4590
09/02/2020,Argentina,Cybernova,Pequeñas y medianas empresas,1642202.99,1382325.75
09/05/2020,Uruguay,Cybernova,Consumidores finales,223512.92,187841.16
09/05/2020,Perú,OmegaTech,Pequeñas y medianas empresas,180449.1,155025
09/06/2020,Argentina,NeuroNet,Instituciones educativas,134721.35,95547.06
09/07/2020,Argentina,NexTec,Pequeñas y medianas empresas,571212,553500
09/08/2020,México,NexTec,Pequeñas y medianas empresas,3043965.02,2787513.75
09/09/2020,Chile,NeuroNet,Instituciones educativas,31945.32,24201
09/09/2020,Uruguay,NeuroNet,Instituciones educativas,115847.82,85813.2
09/09/2020,Uruguay,OmegaTech,Pequeñas y medianas empresas,112492.8,100800
09/10/2020,Argentina,Innovatech,Consumidores finales,106176.2,92988
09/11/2020,México,OmegaTech,Sector público,215460,168480
09/11/2020,Perú,NexTec,Sector público,114016.26,61965.36
09/12/2020,Argentina,Cybernova,Sector público,24023.56,19066.32
09/12/2020,México,OmegaTech,Grandes clientes,9281.65,8001.42
9/13/2020,Perú,NexTec,Consumidores finales,119996.83,107352
9/13/2020,Chile,OmegaTech,Consumidores finales,174809.64,159825.96
9/13/2020,Argentina,NexTec,Sector público,26981.64,15687
9/14/2020,Argentina,OmegaTech,Instituciones educativas,7117.88,4995
9/16/2020,Chile,OmegaTech,Consumidores finales,44783.65,37260
9/16/2020,Uruguay,NeuroNet,Consumidores finales,1094095.82,958197.6
9/16/2020,Perú,NexTec,Consumidores finales,1933865.97,1730082.24
9/17/2020,Perú,Cybernova,Sector público,2063.88,1620
9/18/2020,Uruguay,Cybernova,Sector público,37528.11,30461.13
9/18/2020,Perú,Innovatech,Pequeñas y medianas empresas,862875.02,773185.5
9/19/2020,Perú,Cybernova,Pequeñas y medianas empresas,322898.4,305775
9/19/2020,Argentina,NexTec,Pequeñas y medianas empresas,3206971.85,2699471.25
9/20/2020,Chile,NexTec,Sector público,214462.84,110547.86
9/20/2020,Uruguay,NexTec,Sector público,989759.23,835511.04
9/22/2020,Argentina,NexTec,Grandes clientes,26228.63,20072.93
9/23/2020,Argentina,OmegaTech,Consumidores finales,210755.77,194832
9/23/2020,Perú,NeuroNet,Sector público,13095.56,7440.66
9/25/2020,Chile,Cybernova,Grandes clientes,27964.39,21185.15
9/28/2020,Argentina,NeuroNet,Instituciones educativas,25467.75,17325
9/28/2020,Chile,NeuroNet,Sector público,177404.77,92398.32
9/29/2020,Perú,NexTec,Consumidores finales,136338.38,119403.72
9/29/2020,México,Cybernova,Grandes clientes,5675.18,4892.4
10/01/2020,Argentina,NexTec,Sector público,2130.66,1710
10/02/2020,Chile,Innovatech,Sector público,7254.63,3739.5
